2025-09-05 14:55:05 [WARN] | data already found in 073/traces/obs/*, skipping data preparation
2025-09-05 14:55:05 [INFO] | evaluating objective function for source 073
2025-09-05 14:55:05 [DEBU] | running forward simulation with 'Specfem2D'
2025-09-05 14:55:11 [DEBU] | running executable with cmd: 'mpirun -n 7 bin/xmeshfem2D'
2025-09-05 14:55:17 [DEBU] | running executable with cmd: 'mpirun -n 7 bin/xspecfem2D'
2025-09-05 15:07:19 [INFO] | FINISH FORWARD SIMULATION: 073
2025-09-05 15:07:20 [DEBU] | quantifying misfit with 'Default'
2025-09-05 15:42:02 [DEBU] | found 5000 obs and 5000 syn waveforms for given paths
2025-09-05 15:42:14 [INFO] | 5000 traces matching between `obs` and `syn`
2025-09-05 15:42:15 [INFO] | PREPROCESSING AA.S000011..PRE
2025-09-05 15:42:15 [DEBU] | AA.S000011..PRE misfit=6.469E+00
2025-09-05 15:42:15 [INFO] | PREPROCESSING AA.S000050..PRE
2025-09-05 15:42:15 [INFO] | PREPROCESSING AA.S000052..PRE
2025-09-05 15:42:15 [DEBU] | AA.S000050..PRE misfit=6.469E+00
2025-09-05 15:42:15 [INFO] | PREPROCESSING AA.S000019..PRE
2025-09-05 15:42:15 [DEBU] | AA.S000052..PRE misfit=6.469E+00
2025-09-05 15:42:15 [INFO] | PREPROCESSING AA.S000020..PRE
2025-09-05 15:42:16 [INFO] | PREPROCESSING AA.S000022..PRE
2025-09-05 15:42:16 [DEBU] | AA.S000019..PRE misfit=6.469E+00
2025-09-05 15:42:16 [DEBU] | AA.S000020..PRE misfit=6.469E+00
2025-09-05 15:42:16 [DEBU] | AA.S000022..PRE misfit=6.469E+00
2025-09-05 15:42:16 [INFO] | PREPROCESSING AA.S000016..PRE
2025-09-05 15:42:16 [INFO] | PREPROCESSING AA.S000007..PRE
2025-09-05 15:42:16 [DEBU] | AA.S000016..PRE misfit=6.469E+00
2025-09-05 15:42:16 [DEBU] | AA.S000007..PRE misfit=6.469E+00
2025-09-05 15:42:16 [INFO] | PREPROCESSING AA.S000009..PRE
2025-09-05 15:42:16 [DEBU] | AA.S000009..PRE misfit=6.469E+00
2025-09-05 15:42:16 [INFO] | PREPROCESSING AA.S000017..PRE
2025-09-05 15:42:16 [DEBU] | AA.S000017..PRE misfit=6.469E+00
2025-09-05 15:42:16 [INFO] | PREPROCESSING AA.S000029..PRE
2025-09-05 15:42:16 [INFO] | PREPROCESSING AA.S000030..PRE
2025-09-05 15:42:16 [INFO] | PREPROCESSING AA.S000031..PRE
2025-09-05 15:42:16 [INFO] | PREPROCESSING AA.S000035..PRE
2025-09-05 15:42:16 [INFO] | PREPROCESSING AA.S000034..PRE
2025-09-05 15:42:16 [DEBU] | AA.S000029..PRE misfit=6.469E+00
2025-09-05 15:42:16 [DEBU] | AA.S000035..PRE misfit=6.469E+00
2025-09-05 15:42:16 [INFO] | PREPROCESSING AA.S000032..PRE
2025-09-05 15:42:16 [DEBU] | AA.S000030..PRE misfit=6.469E+00
2025-09-05 15:42:16 [DEBU] | AA.S000034..PRE misfit=6.469E+00
2025-09-05 15:42:16 [DEBU] | AA.S000031..PRE misfit=6.469E+00
2025-09-05 15:42:16 [DEBU] | AA.S000032..PRE misfit=6.469E+00
2025-09-05 15:42:17 [INFO] | PREPROCESSING AA.S000076..PRE
2025-09-05 15:42:17 [INFO] | PREPROCESSING AA.S000038..PRE
2025-09-05 15:42:17 [DEBU] | AA.S000076..PRE misfit=6.469E+00
2025-09-05 15:42:17 [DEBU] | AA.S000038..PRE misfit=6.469E+00
2025-09-05 15:42:17 [INFO] | PREPROCESSING AA.S000047..PRE
2025-09-05 15:42:17 [INFO] | PREPROCESSING AA.S000048..PRE
2025-09-05 15:42:17 [DEBU] | AA.S000047..PRE misfit=6.469E+00
2025-09-05 15:42:17 [DEBU] | AA.S000048..PRE misfit=6.469E+00
2025-09-05 15:42:17 [INFO] | PREPROCESSING AA.S000003..PRE
2025-09-05 15:42:17 [INFO] | PREPROCESSING AA.S000001..PRE
2025-09-05 15:42:17 [INFO] | PREPROCESSING AA.S000053..PRE
2025-09-05 15:42:17 [DEBU] | AA.S000001..PRE misfit=6.469E+00
2025-09-05 15:42:17 [DEBU] | AA.S000003..PRE misfit=6.469E+00
2025-09-05 15:42:17 [INFO] | PREPROCESSING AA.S000065..PRE
2025-09-05 15:42:17 [DEBU] | AA.S000053..PRE misfit=6.469E+00
2025-09-05 15:42:17 [DEBU] | AA.S000065..PRE misfit=6.469E+00
2025-09-05 15:42:17 [INFO] | PREPROCESSING AA.S000236..PRE
2025-09-05 15:42:17 [INFO] | PREPROCESSING AA.S000012..PRE
2025-09-05 15:42:17 [INFO] | PREPROCESSING AA.S000036..PRE
2025-09-05 15:42:17 [DEBU] | AA.S000012..PRE misfit=6.469E+00
2025-09-05 15:42:17 [INFO] | PREPROCESSING AA.S000072..PRE
2025-09-05 15:42:17 [DEBU] | AA.S000236..PRE misfit=6.469E+00
2025-09-05 15:42:17 [DEBU] | AA.S000036..PRE misfit=6.469E+00
2025-09-05 15:42:17 [DEBU] | AA.S000072..PRE misfit=6.469E+00
2025-09-05 15:42:17 [INFO] | PREPROCESSING AA.S000074..PRE
