2025-09-07 01:10:06 [DEBU] | solver parameters to be updated are: ['vp']
2025-09-07 01:10:44 [INFO] | 
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
                                SEISFLOWS SUBMIT                                
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
2025-09-07 01:10:44 [DEBU] | solver parameters to be updated are: ['vp']
2025-09-07 01:10:44 [INFO] | running setup for all modules
2025-09-07 01:10:44 [DEBU] | workflow.Inversion
2025-09-07 01:10:52 [DEBU] | system.Cluster
2025-09-07 01:10:55 [DEBU] | solver.Specfem2D
2025-09-07 01:10:55 [INFO] | initializing 100 solver directories
2025-09-07 01:10:55 [DEBU] | source 1: 002
2025-09-07 01:10:55 [DEBU] | source 0: 001
2025-09-07 01:10:55 [DEBU] | source 2: 003
2025-09-07 01:10:55 [DEBU] | source 3: 004
2025-09-07 01:10:55 [DEBU] | source 4: 005
2025-09-07 01:10:55 [DEBU] | source 5: 006
2025-09-07 01:10:55 [DEBU] | source 6: 007
2025-09-07 01:10:55 [DEBU] | source 7: 008
2025-09-07 01:10:55 [DEBU] | source 8: 009
2025-09-07 01:10:55 [DEBU] | source 9: 010
2025-09-07 01:10:55 [DEBU] | source 10: 011
2025-09-07 01:10:55 [DEBU] | source 11: 012
2025-09-07 01:10:55 [DEBU] | source 12: 013
2025-09-07 01:10:55 [DEBU] | source 13: 014
2025-09-07 01:10:55 [DEBU] | source 14: 015
2025-09-07 01:10:55 [DEBU] | source 15: 016
2025-09-07 01:10:55 [DEBU] | source 16: 017
2025-09-07 01:10:55 [DEBU] | source 17: 018
2025-09-07 01:10:55 [DEBU] | source 18: 019
2025-09-07 01:10:55 [DEBU] | source 19: 020
2025-09-07 01:10:55 [DEBU] | source 20: 021
2025-09-07 01:10:55 [DEBU] | source 21: 022
2025-09-07 01:10:55 [DEBU] | source 22: 023
2025-09-07 01:10:55 [DEBU] | source 23: 024
2025-09-07 01:10:55 [DEBU] | source 24: 025
2025-09-07 01:10:55 [DEBU] | source 25: 026
2025-09-07 01:10:55 [DEBU] | source 26: 027
2025-09-07 01:10:55 [DEBU] | source 27: 028
2025-09-07 01:10:55 [DEBU] | source 28: 029
2025-09-07 01:10:55 [DEBU] | source 29: 030
2025-09-07 01:10:55 [DEBU] | source 30: 031
2025-09-07 01:10:55 [DEBU] | source 31: 032
2025-09-07 01:10:55 [DEBU] | source 32: 033
2025-09-07 01:10:55 [DEBU] | source 33: 034
2025-09-07 01:10:55 [DEBU] | source 34: 035
2025-09-07 01:10:55 [DEBU] | source 35: 036
2025-09-07 01:10:55 [DEBU] | source 36: 037
2025-09-07 01:10:55 [DEBU] | source 37: 038
2025-09-07 01:10:55 [DEBU] | source 38: 039
2025-09-07 01:10:55 [DEBU] | source 39: 040
2025-09-07 01:10:55 [DEBU] | source 40: 041
2025-09-07 01:10:55 [DEBU] | source 41: 042
2025-09-07 01:10:55 [DEBU] | source 42: 043
2025-09-07 01:10:55 [DEBU] | source 43: 044
2025-09-07 01:10:55 [DEBU] | source 44: 045
2025-09-07 01:10:55 [DEBU] | source 45: 046
2025-09-07 01:10:55 [DEBU] | source 46: 047
2025-09-07 01:10:55 [DEBU] | source 47: 048
2025-09-07 01:10:55 [DEBU] | source 48: 049
2025-09-07 01:10:55 [DEBU] | source 49: 050
2025-09-07 01:10:55 [DEBU] | source 50: 051
2025-09-07 01:10:55 [DEBU] | source 51: 052
2025-09-07 01:10:55 [DEBU] | source 52: 053
2025-09-07 01:10:55 [DEBU] | source 53: 054
2025-09-07 01:10:55 [DEBU] | source 54: 055
2025-09-07 01:10:55 [DEBU] | source 55: 056
2025-09-07 01:10:55 [DEBU] | source 56: 057
2025-09-07 01:10:55 [DEBU] | source 57: 058
2025-09-07 01:10:55 [DEBU] | source 58: 059
2025-09-07 01:10:55 [DEBU] | source 59: 060
2025-09-07 01:10:55 [DEBU] | source 60: 061
2025-09-07 01:10:55 [DEBU] | source 61: 062
2025-09-07 01:10:55 [DEBU] | source 62: 063
2025-09-07 01:10:55 [DEBU] | source 63: 064
2025-09-07 01:10:55 [DEBU] | source 64: 065
2025-09-07 01:10:55 [DEBU] | source 65: 066
2025-09-07 01:10:55 [DEBU] | source 66: 067
2025-09-07 01:10:55 [DEBU] | source 67: 068
