# source time function
# time function type  : 1
# amplification factor:  1.00000E+10
# DT                  :  3.00000E-03
# t0                  :  4.00000E-01
# time shift          :  0.00000E+00
# format
#time  #used_STF  #initial_source_function_value
 -0.400000006      -184435.641      -1.8443564062499999E-005
 -0.397000015      -224544.703      -2.2454470312500000E-005
 -0.393999994      -272904.750      -2.7290475000000001E-005
 -0.391000003      -331107.375      -3.3110737500000001E-005
 -0.388000011      -401028.344      -4.0102834375000003E-005
 -0.384999990      -484873.812      -4.8487381250000000E-005
 -0.381999999      -585233.062      -5.8523306249999998E-005
 -0.379000008      -705138.500      -7.0513849999999999E-005
 -0.375999987      -848133.812      -8.4813381249999997E-005
 -0.372999996      -1018351.12      -1.0183511250000000E-004
 -0.370000005      -1220598.38      -1.2205983750000001E-004
 -0.367000014      -1460458.00      -1.4604580000000000E-004
 -0.363999993      -1744396.00      -1.7443959999999999E-004
 -0.361000001      -2079886.38      -2.0798863749999999E-004
 -0.358000010      -2475548.25      -2.4755482499999999E-004
 -0.354999989      -2941299.00      -2.9412990000000000E-004
 -0.351999998      -3488522.50      -3.4885225000000000E-004
 -0.349000007      -4130257.25      -4.1302572500000000E-004
 -0.345999986      -4881401.00      -4.8814010000000001E-004
 -0.342999995      -5758935.50      -5.7589355000000004E-004
 -0.340000004      -6782171.50      -6.7821715000000000E-004
 -0.337000012      -7973014.00      -7.9730139999999996E-004
 -0.333999991      -9356253.00      -9.3562530000000004E-004
 -0.331000000      -10959869.0      -1.0959869000000001E-003
 -0.328000009      -12815366.0      -1.2815366000000000E-003
 -0.324999988      -14958124.0      -1.4958123999999999E-003
 -0.321999997      -17427772.0      -1.7427771999999999E-003
 -0.319000006      -20268582.0      -2.0268581999999999E-003
 -0.316000015      -23529876.0      -2.3529876000000002E-003
 -0.312999994      -27266452.0      -2.7266451999999998E-003
 -0.310000002      -31539024.0      -3.1539023999999998E-003
 -0.307000011      -36414668.0      -3.6414668000000002E-003
 -0.303999990      -41967256.0      -4.1967256000000003E-003
 -0.300999999      -48277936.0      -4.8277935999999997E-003
 -0.298000008      -55435536.0      -5.5435535999999999E-003
 -0.294999987      -63537000.0      -6.3537000000000003E-003
 -0.291999996      -72687784.0      -7.2687784000000002E-003
 -0.289000005      -83002224.0      -8.3002223999999996E-003
 -0.286000013      -94603840.0      -9.4603840000000005E-003
 -0.282999992      -107625600.      -1.0762559999999999E-002
 -0.280000001      -122210120.      -1.2221012000000000E-002
 -0.277000010      -138509744.      -1.3850974400000000E-002
 -0.273999989      -156686560.      -1.5668656000000000E-002
 -0.270999998      -176912272.      -1.7691227200000000E-002
 -0.268000007      -199367952.      -1.9936795199999999E-002
 -0.264999986      -224243632.      -2.2424363199999998E-002
 -0.261999995      -251737776.      -2.5173777599999999E-002
 -0.259000003      -282056480.      -2.8205648000000000E-002
 -0.256000012      -315412480.      -3.1541248000000001E-002
 -0.252999991      -352023936.      -3.5202393600000000E-002
 -0.250000000      -392113184.      -3.9211318400000000E-002
 -0.246999994      -435904704.      -4.3590470399999998E-002
 -0.244000003      -483623584.      -4.8362358400000000E-002
 -0.240999997      -535492832.      -5.3549283199999999E-002
 -0.238000005      -591731136.      -5.9173113600000000E-002
 -0.234999999      -652549888.      -6.5254988799999997E-002
 -0.231999993      -718150080.      -7.1815008000000000E-002
 -0.229000002      -788718784.      -7.8871878399999998E-002
 -0.225999996      -864425600.      -8.6442560000000002E-002
 -0.223000005      -945418240.      -9.4541823999999997E-002
 -0.219999999      -1.03181875E+09 -0.10318187520000000     
 -0.216999993      -1.12371853E+09 -0.11237185280000000     
 -0.214000002      -1.22117389E+09 -0.12211738880000000     
 -0.210999995      -1.32420096E+09 -0.13242009599999999     
 -0.208000004      -1.43277043E+09 -0.14327704320000001     
 -0.204999998      -1.54680307E+09 -0.15468030720000001     
 -0.202000007      -1.66616435E+09 -0.16661643520000000     
 -0.199000001      -1.79065869E+09 -0.17906586880000000     
 -0.195999995      -1.92002522E+09 -0.19200252160000000     
